3922,-1012
4000,-1010
4075,-1008
4146,-1005
4211,-1002
4265,-998
4309,-994
4309,-994
3166,-808
2943,-764
2724,-707
2510,-640
2300,-561
2095,-471
1896,-370
1703,-258
1517,-136
1338,-4
1166,139
1133,169
1097,202
1059,237
1021,274
982,313
942,352
904,391
866,430
831,468
797,504
767,537
740,568
643,687
550,809
461,936
377,1067
298,1200
224,1337
155,1476
91,1617
33,1760
-19,1905
-66,2051
-107,2197
-172,2498
-214,2801
-234,3104
-231,3407
-207,3707
-160,4005
-93,4297
-4,4584
106,4864
237,5135
388,5396
560,5647
764,5901
984,6135
1220,6350
1470,6545
1733,6719
2008,6871
2294,7002
2589,7110
2893,7196
3204,7257
3522,7295
3845,7307
4002,7304
4157,7296
4311,7282
4463,7263
4613,7238
4762,7207
4909,7171
5055,7129
5199,7081
5343,7028
5485,6969
5626,6904
5689,6873
5751,6842
5812,6809
5873,6776
5932,6741
5991,6706
6049,6670
6106,6632
6163,6594
6220,6555
6276,6514
6331,6472
6379,6436
6428,6396
6478,6354
6528,6312
6577,6269
6623,6228
6665,6189
6703,6153
6734,6122
6757,6097
6773,6078
6778,6067
6778,6065
6776,6063
6774,6060
6772,6056
6769,6052
6765,6047
6761,6043
6756,6038
6751,6032
6745,6027
6739,6021
6733,6016
6714,5998
6669,5956
6600,5891
6510,5807
6399,5704
6270,5583
6125,5448
5965,5299
5793,5138
5609,4966
5417,4787
5218,4601
3747,3226
3769,3202
3872,3088
4053,2886
4295,2614
4581,2291
4896,1936
5222,1568
5543,1204
5842,865
6104,567
6312,331
6448,175
6497,116
6493,107
6480,93
6461,74
6434,51
6402,25
6365,-4
6324,-36
6279,-69
6231,-103
6181,-138
6131,-173
6079,-207
5946,-290
5810,-368
5672,-441
5531,-508
5387,-569
5241,-624
5092,-675
4941,-719
4788,-758
4632,-791
4474,-818
4313,-840
4270,-845
4219,-849
4160,-852
4097,-856
4030,-859
3962,-861
3894,-863
3829,-864
3767,-865
3710,-864
3661,-864
3621,-862
3621,-862
4611,-770
4801,-729
4988,-680
5172,-622
5352,-555
5530,-479
5703,-395
5873,-303
6040,-201
6203,-92
6362,27
6377,38
6390,49
6403,60
6416,70
6427,80
6437,88
6446,96
6453,103
6459,109
6464,114
6466,118
6467,120
6454,135
6417,178
6358,245
6278,336
6179,448
6063,580
5931,729
5785,893
5627,1072
5458,1262
5280,1462
5094,1671
4909,1879
4731,2080
4562,2270
4404,2449
4258,2614
4126,2763
4009,2894
3911,3007
3831,3098
3771,3165
3734,3208
3721,3224
3768,3270
3901,3397
4103,3589
4362,3833
4663,4116
4991,4424
5331,4743
5669,5060
5991,5361
6282,5632
6526,5860
6711,6031
6752,6069
